gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,2.2020000024269848e-08,0.0,4.667890932487283,4.669423222582676,0.4668423879906285,-2.2020000024269848e-09,9.13000000011266e-08,0.0,1.7021657357495232,1.703750057586242,0.08515455056890983,-4.56500000005633e-09,-5.807769999988111e-08,0.0,0.9297364870355815,0.927550876058437,0.037114982754464766,2.323107999995244e-09,1.0035999999047362e-08,0.0,0.37760063139742844,0.37666963044246227,0.011302937145547604,-3.0107999997142087e-10,5.5835032871153064e-09,6.291289376651243e-17,0.11334919552018294,5.550360854154464e-16,0.001775729052689957,-0.0017757290526894019
2,2000,-0.02466483509499999,0.3,4.016506338556149,4.028175520630474,0.4020693373692397,0.0324664835095,-0.026821060711049994,0.0,1.719465636609892,1.7112414174234811,0.08567164191149272,0.0013410530355524998,-0.033845135796499996,0.0,0.8585172828088465,0.8552297747280327,0.03422803228477031,0.0013538054318599998,-0.0011830349314999999,0.0,0.36969642813385917,0.36953897332675784,0.011086488276976546,3.5491047945e-05,0.032522377272865804,0.004241557728210407,0.08514692534837663,0.047450830154218956,0.016920568148295078,0.03053026200592388
3,2000,0.017664965535799985,0.6,3.717442518987182,3.7190851619018535,0.3718041245277609,0.058233503446420004,-0.015466403861300007,0.0,1.5438913002555996,1.5425142281622592,0.07714194901097293,0.0007733201930650004,-0.0017860361324999934,0.0,0.8276917631562956,0.8283356540789457,0.03312410024910068,7.144144529999974e-05,0.0015991516044999985,0.0,0.34178924999187155,0.3408797882478907,0.01022999114967135,-4.797454813499995e-05,0.05823870150683812,0.012612470668671204,0.07269552302465063,0.1478462934436418,0.18547311215415077,-0.037626818710508964
4,2000,0.18967404566399998,0.9,3.5684461741433386,3.569960133349582,0.3568958996085165,0.07103259543360001,0.014007995424000007,0.0,1.6402034685590474,1.640299986916499,0.0820098231747494,-0.0007003997712000004,-0.01886536712499999,0.0,0.9522097305648306,0.9507434323163771,0.03804139996351572,0.0007546146849999997,0.017088638572,0.0,0.34526329213704815,0.3451191128218065,0.010353956082209294,-0.0005126591571599999,0.07104190620054636,0.01799976281838621,0.0678273233861312,0.20972123853179128,0.1833199496841069,0.02640128884768439
5,2000,0.3731492917675,1.2,3.424084177533634,3.4246400517257083,0.34242532375890367,0.08268507082325,0.0026689396940000015,0.0,1.5755000072681915,1.5755732007890708,0.07877655696053695,-0.00013344698470000007,-0.06235529922100001,0.0,0.902955362236817,0.9027150416680132,0.036110436996765756,0.0024942119688400005,0.029044871562000002,0.0,0.36711973323723157,0.3667309860930814,0.01100290688715623,-0.00087134614686,0.0827273780715716,0.023418171510298076,0.062442937949005774,0.2727448044611832,0.2576832231169921,0.01506158134419111
6,2000,0.596639676198,1.5,3.634860192282743,3.6365654965343515,0.3635465708317101,0.09033603238020001,-0.014678288603499998,0.0,1.5596118439088766,1.5606104540826882,0.07800384627425183,0.0007339144301749999,-0.06357339591,0.0,0.9112059086467009,0.9090558666653356,0.03637890997497576,0.0025429358364,0.02181278230905,0.0,0.3836386608949442,0.3830847884508894,0.011494680515496911,-0.0006543834692714999,0.09037716590478076,0.029649215715693088,0.06985313098409669,0.2979750397761798,0.280339629810625,0.017635409965554794
7,2000,0.8193136403305,1.8,3.606878192000397,3.6096173873570714,0.3607720243844768,0.09806863596695001,0.022726102963499993,0.0,1.6389441521082388,1.639628693069121,0.08196855308607197,-0.0011363051481749996,-0.080099049987,0.0,0.8876654781587504,0.8882461771384688,0.03550656683677247,0.00320396199948,0.014364932349999995,0.0,0.36826874569543216,0.36426431039815704,0.010942563995343593,-0.0004309479704999998,0.09812848535698143,0.03466245666019769,0.06912787663441196,0.3339661369215189,0.32887049029325055,0.0050956466282683355
8,2000,1.0664447330565001,2.1,3.5936364972360306,3.596382845560976,0.3594506574263756,0.10335552669435,-0.0016091444550000063,0.0,1.658057149564429,1.6592595277596327,0.08294090970883179,8.045722275000032e-05,-0.08997591077375,0.0,0.9410991963079212,0.9385339065864662,0.037556088360066006,0.00359903643095,0.0302638587349,0.0,0.3656150652720082,0.36423162847331125,0.010931271517028211,-0.000907915762047,0.1034221869131255,0.038337125723447496,0.06880696104873515,0.3578090670086405,0.3882189868012557,-0.030409919792615203
9,2000,1.3564878604850001,2.4,3.467369527492771,3.4683429392642924,0.34676668815825656,0.10435121395149999,0.05648959152000001,0.0,1.6438020282954484,1.643958449079305,0.08219488390239123,-0.0028244795760000007,-0.07446388376,0.0,0.922709349105996,0.9223261554624117,0.0368940040879408,0.0029785553504,0.04536949552149999,0.0,0.36506919469250726,0.3643225557807135,0.010931927820476176,-0.0013610848656449997,0.10444078648695562,0.03775263203333733,0.06424190476974306,0.37014366863811415,0.3717765853235795,-0.0016329166854653354
10,2000,1.5454564861200002,2.7,3.5726905056105513,3.578535174430418,0.35746549950028905,0.115454351388,-0.015261232465000003,0.0,1.597839024922416,1.5974469660320334,0.07987692789077237,0.0007630616232500002,-0.06878278230514999,0.0,0.8908162868843083,0.8855774158735688,0.03545689704679697,0.0027513112922059996,0.05315153663365,0.0,0.3348506550352747,0.33463691611652985,0.01003984849574788,-0.0015945460990094999,0.11550065717801411,0.04756095501843617,0.06775994852413185,0.41242267062952864,0.46359973321080494,-0.0511770625812763
11,2000,1.86191468255,3.0,3.5582648473706007,3.5605975462110417,0.35590812705503094,0.11380853174500001,0.0003985027265000012,0.0,1.5845935715909274,1.5830881006388355,0.07917256693528293,-1.992513632500006e-05,-0.0929315386,0.0,0.8809585670278017,0.8806520226289177,0.03522796710821557,0.0037172615440000003,0.052263516185999996,0.0,0.342148165451406,0.34162748196194137,0.010250289862731514,-0.00156790548558,0.11388001868616789,0.04607048221216533,0.06714248418389467,0.40693644622820047,0.4541818017295735,-0.04724535550137304
12,2000,2.2592794731255,3.3,3.4938987711151976,3.495034135102583,0.34942572673051964,0.10407205268745,-0.0221581612095,0.0,1.6740309421213537,1.6744011067638862,0.08370974692344238,0.0011079080604750001,-0.11230573404999998,0.0,0.9156722472978801,0.9156498646170099,0.03662292798466008,0.004492229361999999,0.08289843105,0.0,0.34368629806337764,0.34220315211432945,0.010270501412782245,-0.0024869529314999997,0.10420453286865282,0.03781991343937972,0.06527619114228896,0.366841342772755,0.35245953388441603,0.014381808888338954
13,2000,2.5647586926550003,3.6,3.244650122913003,3.2454529181092244,0.3244906935522207,0.10352413073449998,-0.051900744204999995,0.0,1.7483845699544893,1.7503435310058446,0.08748299432341698,0.00259503721025,-0.1040097246105,0.0,0.9221655992030483,0.92000320488103,0.036812875995259425,0.00416038898442,0.085936996198,0.0,0.3583954227177626,0.3577960607922054,0.010736163567782477,-0.00257810988594,0.10367224965988772,0.034850993064628376,0.057208968772494366,0.378568406603172,0.4194938795902675,-0.040925472987095535
14,2000,2.8443520574549996,3.9,3.4240653143909707,3.4273529670788734,0.3425128920097005,0.10556479425450004,-0.0004802288100000016,0.0,1.6652411778908938,1.6648749724593475,0.08324958696701967,2.401144050000008e-05,-0.12142254999549999,0.0,0.9430171019844414,0.940393442364903,0.03763505106596517,0.00485690199982,0.08834268384949999,0.0,0.34436974269436504,0.3440719550575469,0.010322836651165157,-0.0026502805154849994,0.10570969608503665,0.03828116798278101,0.06288426647414626,0.3784016565369449,0.39874831983359516,-0.020346663296650247
15,2000,3.041688952275,4.2,3.586375123393974,3.587325639194891,0.35866873204948113,0.11583110477250003,-0.0059492192599999915,0.0,1.687047073036141,1.6889711459070793,0.0844107632244267,0.0002974609629999996,-0.13661437429099998,0.0,0.9755480500015494,0.9732917246374466,0.03894873185766055,0.005464574971639999,0.086241384432,0.0,0.37565090717508826,0.37503264386733653,0.011253088074950816,-0.0025872415329599996,0.11598917498720702,0.04819836141893897,0.06870603600132762,0.41228869471580104,0.45703586857510675,-0.04474717385930571
16,2000,3.3314535306999997,4.5,3.51479413979096,3.5162930091521862,0.35152854619436097,0.11685464693000003,-0.015077376664499997,0.0,1.6313685733020205,1.6304588523730994,0.0815359878617015,0.0007538688332249998,-0.10826414469,0.0,0.9382297154526993,0.9385249139438373,0.037536400573188966,0.0043305657876,0.065420004851,0.0,0.35251291468125134,0.3516285677578107,0.010551484073490831,-0.0019626001455299996,0.11695376191779655,0.04802762435024389,0.06587037564512437,0.421672236142838,0.44872395230170264,-0.027051716158864647
17,2000,3.6709052762499996,4.8,3.3766780593037184,3.3768816619762063,0.33767448733964467,0.11290947237500003,0.019797779841999992,0.0,1.5919021052779747,1.5924425228334904,0.07960978878859164,-0.0009898889920999996,-0.09123231828999999,0.0,0.922801249425818,0.9228130813204,0.036910895009205,0.0036492927315999995,0.05482073963195,0.0,0.34375798881180025,0.3430021366892147,0.010292529698216323,-0.0016446221889585,0.11298473769409255,0.04304537144182185,0.0609150641045125,0.4140553203303661,0.4543340745641853,-0.040278754233819214
18,2000,4.0046989298,5.1,3.2388699351827155,3.241762347832519,0.3239740629551624,0.10953010701999998,0.03812025683499999,0.0,1.5561660144190281,1.5566398500784664,0.07782205836962289,-0.0019060128417499997,-0.119428342816,0.0,0.9467264017484526,0.9450917667230615,0.03781555276771786,0.00477713371264,0.053649345975499994,0.0,0.354227887994569,0.3524962747107174,0.010579512856495438,-0.0016094803792649998,0.10966261287405678,0.0388073254744199,0.0562787041799845,0.4081285717309613,0.48431754619066014,-0.07618897445969885
19,2000,4.2682718483999995,5.4,3.1558911006058255,3.1586867290351384,0.3156768004499583,0.11317281516000009,-0.004830025945000003,0.0,1.5495996886643497,1.5498799539469712,0.07748415754673685,0.00024150129725000014,-0.10387538834950001,0.0,0.9085578694184587,0.9068675386016061,0.036288031608602715,0.004155015533980001,0.061968203519999994,0.0,0.36319878503451436,0.36181322213943334,0.010858383216275948,-0.0018590461055999997,0.11326457796074854,0.040380048521271944,0.05354518136857441,0.4299169516926268,0.4825573675411416,-0.05264041584851481
20,2000,4.556322461300001,5.7,3.1554240479661337,3.1602496899871593,0.3156919350490552,0.11436775386999996,-0.036194948764499996,0.0,1.6368569681125935,1.6360294504849788,0.08181470830151004,0.001809747438225,-0.06993363743500002,0.0,0.9257030581431267,0.9234333703690051,0.03695355691323585,0.0027973454974000007,0.077075277145,0.0,0.3712378638201793,0.36950942720088903,0.011090311178772393,-0.00231225831435,0.11443963470495333,0.04122668763618341,0.05392180236002991,0.43328788126668255,0.4796472218474787,-0.04635934058079616
21,2000,4.8571446223,6.0,3.319486415304982,3.3217275998956723,0.33202202861549557,0.11428553777000001,-0.04739765637,0.0,1.667492117969725,1.6657466906351723,0.0833156434101743,0.0023698828185000002,-0.08104723624849998,0.0,0.8777651486523427,0.8776079094913686,0.035105424696224234,0.0032418894499399993,0.08270964801511001,0.0,0.36902579553568204,0.36868727744051905,0.011061530519254665,-0.0024812894404533,0.11438298445330257,0.043392400439601596,0.05926743611166539,0.4226813708000791,0.4780719517796628,-0.05539058097958366
22,2000,5.18554157,6.3,3.1945393624387552,3.1951104122285097,0.31947034693237364,0.111445843,-0.020237757915,0.0,1.7319417723729946,1.7338868672940213,0.08665934491987776,0.0010118878957500002,-0.052957508604500006,0.0,0.8873907938707447,0.8861068632211722,0.03544994842695637,0.00211830034418,0.068135653815,0.0,0.3589224070312705,0.35769019297006316,0.010734688549085632,-0.00204406961445,0.111489305567983,0.039691809613322034,0.05547153850637656,0.41709135289562094,0.45389162515967074,-0.036800272264049805
23,2000,5.4627266070000005,6.6,3.0167895105522176,3.0294313915183304,0.30208538541130936,0.11372733929999992,0.028310977134800002,0.0,1.5934525875072607,1.5818393600924492,0.07929622601125745,-0.00141554885674,-0.03389293901500001,0.0,0.9398840116305113,0.939302324095841,0.037577488270817784,0.0013557175606000004,0.060403345973,0.0,0.3704547110311103,0.37000774501447886,0.011101482533353966,-0.0018121003791899998,0.11375866191508893,0.039083225244091094,0.04953939103895481,0.4410073509821214,0.47102280382842,-0.030015452846298585
24,2000,5.771309142,6.9,2.919516453005298,2.920754750304222,0.2919892500093548,0.11286908580000006,0.020266230601999995,0.0,1.62910756914157,1.6289627886377471,0.08145087297816293,-0.0010133115300999997,0.011012627794739997,0.0,0.940462159286497,0.9396363599482643,0.03759267157020688,-0.0004405051117895999,0.065749470765,0.0,0.3575702186888462,0.35730250123197893,0.010719822132009463,-0.00197248412295,0.11289172719005415,0.03720818227257311,0.0467100451861287,0.4433861796101944,0.47225678437957536,-0.02887060476938097
25,2000,6.039673426999999,7.2,2.8531360952960325,2.8591928561475886,0.2855001651750266,0.11603265730000008,-0.0054746037800000045,0.0,1.657558616714389,1.6618091136916742,0.08301562391803137,0.00027373018900000024,-0.022055520633,0.0,0.9367780498958493,0.9265348461722055,0.037148602429911505,0.0008822208253200001,0.07528621528425,0.0,0.3638074543077571,0.3637434002025587,0.010912494467419945,-0.0022585864585275,0.1160583129926112,0.03838974778489185,0.044950519663732286,0.4606386439611267,0.5206962241929137,-0.06005758023178703
26,2000,6.305992528500001,7.5,2.863518980761467,2.871226332079511,0.286590533424382,0.11940074714999992,0.013663272137999996,0.0,1.7001354391021781,1.7011378578071634,0.085031670595944,-0.0006831636068999999,-0.055724878474999996,0.0,0.9059564677789164,0.8996690194271504,0.03604081234323599,0.002228995139,0.080820744564,0.0,0.3395132329807762,0.33709091130951246,0.010119309368273354,-0.0024246223369199997,0.11944811570426041,0.04078721110169576,0.04538292971463012,0.47333346232582896,0.5143199262308121,-0.04098646390498317
27,2000,6.53532506725,7.8,2.743818658186113,2.7459061229419914,0.27444376619722244,0.12646749327500004,0.070662903997,0.0,1.7364535448672747,1.7378989388532182,0.08686176205929952,-0.00353314519985,-0.10019836526800001,0.0,0.9280231250029302,0.9285075976567093,0.03712757281069318,0.00400793461072,0.089144874501,0.0,0.34479799791508847,0.3407806665194892,0.01023630693232946,-0.00267434623503,0.12660855278334884,0.04387030013474712,0.0421737925774942,0.5098583615898339,0.5219586826428307,-0.012100321052996854
28,2000,6.8460937995,8.1,2.6749099607602753,2.6772784323643934,0.2675554520259632,0.12539062004999996,0.104287632655,0.0,1.6723479434891988,1.6729121030181324,0.08364807971683234,-0.0052143816327500005,-0.08704804393549999,0.0,0.8750489723100596,0.8725264488403595,0.034917578440030926,0.00348192175742,0.0656092789085,0.0,0.3649314620416984,0.36452135437834615,0.010937185821314352,-0.0019682783672550002,0.12556271449435621,0.042183562477719684,0.039960890233468375,0.5135290465204388,0.5506562353992908,-0.03712718887885191
29,2000,7.087611128250001,8.4,2.753594625959557,2.756576275092836,0.2754452207602952,0.13123888717499996,0.115659467274,0.0,1.6221101178850204,1.6308585255056127,0.08139144795762582,-0.005782973363700001,-0.0979570241665,0.0,0.8980023588161841,0.8889056989663937,0.03561743632586327,0.00391828096666,0.0543547634655,0.0,0.3671922010469513,0.3645588041428696,0.010946723830478323,-0.001630642903965,0.13143477549671387,0.04738321737181518,0.041941534986687214,0.5304601033949018,0.5521928535837969,-0.02173275018889509
30,2000,7.3831795300000005,8.7,2.5543901595375478,2.563712299204821,0.2556943338042619,0.13168204699999989,0.135635319325,0.0,1.596149257063151,1.592139505740774,0.07971444003075445,-0.0067817659662500005,-0.1114040120015,0.0,0.9408459478486216,0.9362180873723372,0.03748991416224145,0.00445616048006,0.0507675859828,0.0,0.3698253176273045,0.36914078975869485,0.011076388252418709,-0.001523027579484,0.1319406337371588,0.044563457074555425,0.03663108216481626,0.548847958151185,0.5891981053462259,-0.04035014719504082
31,2000,7.610390865,9.0,2.482336499127064,2.483504171784902,0.2482632745911708,0.13896091349999998,0.12026272560449999,0.0,1.6379295385916943,1.637915190070516,0.08190298015662503,-0.006013136280225,-0.10668296326500001,0.0,0.9516266941608839,0.9512360079633986,0.03804880450860295,0.0042673185306000005,0.0546641101175,0.0,0.36023196851643746,0.35946933057726316,0.010787094407820795,-0.0016399233035249998,0.139166061396312,0.047963576093712136,0.034953412299782355,0.5784529446015827,0.6117639619195909,-0.03331101731800823
32,2000,7.936856120000001,9.3,2.4373357236534727,2.4480080041554078,0.2440129280917796,0.136314388,0.1158394040095,0.0,1.5876512774257558,1.577493141085854,0.07911782086455887,-0.005791970200475001,-0.09842140273765,0.0,0.9377551151394082,0.9375172677128996,0.03750297449763555,0.0039368561095060005,0.0319857621295,0.0,0.3575925485280143,0.35731625179248827,0.010720393844077643,-0.000959572863885,0.13649754177539533,0.04520801736332548,0.03366166929731147,0.5731988965272298,0.6123279774261328,-0.03912908089890299
33,2000,8.23136655,9.6,2.420186515361178,2.4275771529927055,0.24221310139633195,0.13686334499999991,0.1033598434269,0.0,1.5840116653641942,1.5783377162460877,0.07905361216648449,-0.005167992171345,-0.10073163565300002,0.0,0.9607355566894236,0.959859285411862,0.03840442958453349,0.004029265426120001,0.029903836595000004,0.0,0.3600183743422887,0.35917795710643025,0.010778065154823059,-0.0008971150978500001,0.1370230752210919,0.04525106764054843,0.033253863492396875,0.576410513167859,0.6207936527828091,-0.04438313961495011
34,2000,8.59262762,9.9,2.401523588365218,2.4025585760937553,0.2401809492816528,0.13073723800000003,0.07363726737099999,0.0,1.559483466720853,1.5592425676215165,0.07796826912765044,-0.0036818633685499996,-0.15223030751245,0.0,0.9529839786172973,0.952532607234399,0.03810556937806401,0.006089212300498001,0.04051154340500001,0.0,0.3814434865394972,0.38110076929319625,0.011434408126073872,-0.0012153463021500003,0.13093638566421484,0.041036552702987714,0.03267435974770888,0.5567228967683183,0.6116374359467701,-0.05491453917845179
35,2000,8.886953015000001,10.2,2.292451909037579,2.310614892428542,0.2297011400549972,0.1313046984999998,0.024228150052499998,0.0,1.5977099435963902,1.5849332060419112,0.07957908007429823,-0.001211407502625,-0.13061308925815002,0.0,0.9478783395169457,0.9431164506065876,0.03778218013427154,0.005224523570326001,0.040273735137,0.0,0.3681159842485275,0.36749162732240226,0.011026900928144137,-0.0012082120541099999,0.13141973512078714,0.03962260437009027,0.03032226470390732,0.566483358889011,0.6217302298792078,-0.05524687099019676
36,2000,9.186644325000001,10.5,2.1516521921447174,2.1526415451273633,0.21518800006672795,0.13133556749999986,0.016610313305000006,0.0,1.633480640510197,1.6405868445028582,0.0818980177589078,-0.0008305156652500004,-0.0997356675465,0.0,0.9757437225459266,0.968924690931084,0.03881659394499979,0.00398942670186,0.0328288335115,0.0,0.3735809027046083,0.372304377344144,0.011173815452321347,-0.000984865005345,0.131402460141755,0.03712679403531528,0.02732237140140501,0.5760632241509533,0.6330102122270024,-0.05694698807604903
