gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,6.47000000029152e-08,0.0,2.8907151236051276,2.8914212198699984,0.2890920432727325,-6.47000000029152e-09,1.4994499995424347e-08,0.0,2.455112849116835,2.4552560066025886,0.12276109277382206,-7.497249997712174e-10,1.8805000001620442e-08,0.0,0.8104967552185429,0.8107530402406918,0.03242316111361955,-7.522000000648177e-10,3.0899500004011315e-08,0.0,0.32410881283693743,0.323003274064163,0.00969399225003086,-9.269850001203395e-10,6.621789305739034e-09,1.231793119320982e-16,0.04989486512248473,2.468777330687444e-15,0.0032015279766081975,-0.0032015279766057286
2,2000,-0.013291223794999996,0.3,2.5184593537487614,2.5579329900704937,0.2521282794487409,0.031329122379499995,0.031488347844500005,0.0,2.3796002891910466,2.342282231449591,0.11876704518815924,-0.0015744173922250004,-0.019357521315,0.0,0.7582988905874147,0.7572780599462963,0.03029331010778576,0.0007743008526,0.014153681483000004,0.0,0.32186955990783145,0.3207348119686744,0.00962535751047406,-0.0004246104444900001,0.03138108562549319,0.002484645117639947,0.03934230623249979,0.05940296955521828,0.0329170901052551,0.02648587944996318
3,2000,0.078342442305,0.6,2.581904086654435,2.582826971766095,0.258210486992734,0.0521657557695,0.032767352524999994,0.0,2.1941358993039985,2.1938605682626244,0.10970529682485339,-0.0016383676262499997,-0.050571315291350005,0.0,0.7630420840065337,0.7631658892895788,0.030523778913348735,0.0020228526116540003,0.027434928518000005,0.0,0.3151119609499694,0.3143406015966409,0.00943268308846831,-0.0008230478555400001,0.05223714831365559,0.007027899339614968,0.03986429216692613,0.14987355279896933,0.21174308635807618,-0.06186953355910685
4,2000,0.23435943027000003,0.9,2.5048748994302117,2.5120873295683968,0.25061560551591466,0.066564056973,0.08050921496499999,0.0,2.1674290403896657,2.162733860101988,0.10832163344515272,-0.00402546074825,-0.04335767755699999,0.0,0.8126304815521512,0.8107093478166197,0.03244282134021531,0.0017343071022799996,0.043642667903000004,0.0,0.316027645648155,0.3154315295331785,0.009464930292752695,-0.00130928003709,0.06672106151944102,0.011106674479343524,0.037841939781147145,0.22690477855485236,0.20559086064972043,0.02131391790513193
5,2000,0.33753168376400006,1.2,2.670684242509566,2.70940716905465,0.26768424281842307,0.08624683162359999,0.01472954198599999,0.0,2.226938396152707,2.1903813228967923,0.11079535910541986,-0.0007364770992999996,-0.052773028555,0.0,0.773029245422743,0.7725448316491591,0.030902776290047663,0.0021109211422,0.0100303560965,0.0,0.3236681361713384,0.3219866966557517,0.009664179746751407,-0.000300910682895,0.08627632872888755,0.01986112345491343,0.04248942170259082,0.3185396920707281,0.2914426588443576,0.02709703322637047
6,2000,0.442034721967,1.5,2.5777484011189804,2.5790073615716453,0.25779969768990374,0.10579652780330001,0.06501840587005,0.0,2.0512042814810196,2.0511235030072976,0.1025759021066371,-0.0032509202935025005,-0.0469136845645,0.0,0.738641615510394,0.7376079921077704,0.029509083901129086,0.0018765473825800001,0.02281538548300001,0.0,0.32588164223620086,0.32573708365988424,0.009772484375780975,-0.0006844615644900002,0.10586530921742716,0.02885634035038979,0.03897439365277745,0.4254168965507935,0.42175075389470235,0.0036661426560911647
7,2000,0.6182570723859999,1.8,2.5189683635550395,2.5199915293934527,0.2519257240988013,0.11817429276140001,0.04101837484000001,0.0,2.0871719847088612,2.0873741682736706,0.10436760208707975,-0.0020509187420000006,-0.06949840101999999,0.0,0.7565888811885151,0.7558582414962144,0.03023899943760051,0.0027799360407999994,0.0331896680325,0.0,0.34072218728072096,0.3402274775697986,0.010208330833427816,-0.000995690040975,0.11822896929429776,0.035211718818950515,0.03768888696675212,0.4830099618439149,0.5109782566257828,-0.027968294781867853
8,2000,0.85332690072,2.1,2.6858302499702744,2.7131120130357447,0.26907016019084706,0.12466730992800001,0.0866815674545,0.0,2.139916378895228,2.115586444853265,0.10660293340621066,-0.004334078372725,-0.054515350688449996,0.0,0.7606314704316901,0.7601489067160915,0.030396262519881246,0.002180614027538,0.043478952412,0.0,0.3454650598080354,0.3429957945001256,0.01029869843635834,-0.0013043685723599999,0.12476850105268793,0.041933842588219174,0.042396466240298886,0.49725707365177313,0.5491278779190091,-0.05187080426723595
9,2000,1.1734324779355,2.4,2.4627485091248533,2.483651135932177,0.24644660262076906,0.12265675220644999,0.004885749390000001,0.0,2.273148995492223,2.256039718528616,0.11361981261163594,-0.00024428746950000006,-0.0433020620115,0.0,0.7654814966724649,0.7626133222069373,0.030509527905633313,0.00173208248046,0.048987941910499995,0.0,0.30731325942179255,0.30638808404360424,0.009195015198610358,-0.0014696382573149997,0.12267802771698243,0.03704597716746219,0.037330384679374946,0.49808805173545306,0.5309099430082149,-0.03282189127276186
10,2000,1.4092775296125,2.7,2.402567588351815,2.4221772805357955,0.24042357525621372,0.12907224703875003,0.0017934522600000023,0.0,2.2068342399176775,2.188348164604382,0.11021042844784935,-8.967261300000012e-05,-0.0636333885146,0.0,0.76100141077706,0.7604761909101493,0.030421071108741767,0.002545335540584,0.05562541217670001,0.0,0.31963224526827083,0.3190338482644967,0.00957241980739107,-0.0016687623653010002,0.12910815813749202,0.040038276206501966,0.03548345343300542,0.5301557101197123,0.5400706412847438,-0.009914931165031504
