triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
0,common (p=0.5),0.5,0.5833282753513066,0.5837336344665351,0.0075916064108227915,-0.044941702748735546
0,rare (p=0.05),0.05,0.5833282753513066,0.5850390592229205,0.009052431798489885,-0.008074688645064443
0,rare (p=0.02),0.02,0.5833282753513066,0.5888347985463889,0.006996344924330782,-0.010701167419053137
0,very rare (p=0.005),0.005,0.5833282753513066,0.5397243244139935,0.01622526645633701,0.19153427720992977
1,common (p=0.5),0.5,0.5030966687387195,0.5035538289750547,0.0530095015368252,-0.015383846507946441
1,rare (p=0.05),0.05,0.5030966687387195,0.3132841128170416,0.09754104853824809,0.2135802603368967
1,rare (p=0.02),0.02,0.5030966687387195,0.5004249675771811,0.05195285255044594,0.04479174323023505
1,very rare (p=0.005),0.005,0.5030966687387195,0.5065375849825186,0.05158111746190095,-0.01535883486926315
2,common (p=0.5),0.5,0.6574644487452045,0.6610114165887466,0.059577787193327264,-0.025816498049622716
2,rare (p=0.05),0.05,0.6574644487452045,0.6969662845495179,0.041243215307362795,0.275874082331818
2,rare (p=0.02),0.02,0.6574644487452045,0.647296887185482,0.06333713405403815,0.03354757718467205
2,very rare (p=0.005),0.005,0.6574644487452045,0.65622838819217,0.06154172357411102,-0.008691131723438383
3,common (p=0.5),0.5,0.6370079660672882,0.6388736378911885,0.0018273162954063726,-0.023241329940841604
3,rare (p=0.05),0.05,0.6370079660672882,0.6594731221382358,0.001710973997053193,-0.019062149553210173
3,rare (p=0.02),0.02,0.6370079660672882,0.6559779101822494,0.005599092635742401,0.036942571788178835
3,very rare (p=0.005),0.005,0.6370079660672882,0.6385898119717192,0.0029431739117142626,0.006541697989311923
4,common (p=0.5),0.5,0.7398167712301652,0.7440994613239489,0.011975617876392822,-0.042510142191301226
4,rare (p=0.05),0.05,0.7398167712301652,0.7210306498561333,0.01500557559994784,0.04193211331336921
