gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,-1.8098499995566896e-08,0.0,3.9433902929463533,3.943679396401672,0.3943488413356948,1.8098499995566896e-09,4.8554999996675006e-08,0.0,1.5969383436319802,1.596885161610597,0.07984476610860654,-2.4277499998337504e-09,-2.4325499994759525e-08,0.0,0.7760910164245691,0.775967228329777,0.03103896874687472,9.73019999790381e-10,-4.009500000456967e-09,0.0,0.3781758121508921,0.37806367881174807,0.011342285306567937,1.20285000013709e-10,3.1828860306031216e-09,2.325323354140087e-17,0.08148913017729403,2.853538071986943e-16,0.0027621370429641314,-0.002762137042963846
2,2000,-0.008567921904499997,0.3,3.4494116950812663,3.4506463623412063,0.34498143663234926,0.03085679219045,0.017702569490500003,0.0,1.50800277050893,1.507843808108968,0.07539432599676762,-0.0008851284745250002,0.0012967842084999947,0.0,0.7464104722719543,0.7458009117737612,0.0298344719205326,-5.187136833999979e-05,0.018172519257,0.0,0.37567589253612704,0.37520974817433944,0.01125776915088547,-0.0005451755777099999,0.030874341835096922,0.0032856284273338194,0.06285666454722916,0.04967515154936354,0.07811785307922489,-0.02844270152986135
3,2000,0.1379826838215,0.6,3.213086553523175,3.214405319824289,0.3213523795810576,0.046201731617849996,0.036210486575000006,0.0,1.535036760406215,1.5345580782885888,0.07673339073121893,-0.0018105243287500003,-0.003492662329000002,0.0,0.7444160036966648,0.7442265374175117,0.02976823855345418,0.00013970649316000008,0.030108788025,0.0,0.3829855016068335,0.3823348837024987,0.011472689702968972,-0.00090326364075,0.04624622585619034,0.0068558379416612065,0.05508656787555706,0.1106808470095857,0.09068067408533673,0.02000017292424898
4,2000,0.23233537589499997,0.9,2.992818686672463,2.9964627984611028,0.29939614132275383,0.06676646241050001,0.015674962196500004,0.0,1.5925510869349466,1.5942211232317574,0.07969037519919758,-0.0007837481098250002,-0.0503972352275,0.0,0.7729490897829927,0.7681408356551392,0.030754159574552617,0.0020158894091,0.0341659337465,0.0,0.378031760971043,0.3775258670134463,0.011327663337940821,-0.0010249780123950001,0.06680934930043833,0.01332189530836025,0.04853136981308897,0.215379014870155,0.20910350060121627,0.006275514268938742
5,2000,0.45522812275450003,1.2,2.9254434204357818,2.926525297174103,0.2925795250262408,0.07447718772454999,0.04442828430200001,0.0,1.4595920899659203,1.4662516805246952,0.07319866490550275,-0.0022214142151000004,-0.05249452681550001,0.0,0.7425450254932493,0.7361834194158208,0.02948187726824987,0.0020997810726200005,0.015577544962999998,0.0,0.3742963039729568,0.37291644275329056,0.011194569480798954,-0.0004673263488899999,0.07454135527975198,0.016219790183314844,0.04597766124082481,0.2607790160517691,0.250818415803342,0.009960600248427098
6,2000,0.6159229586595,1.5,3.19068827648988,3.1922435765071,0.319120378739696,0.08840770413405001,0.061500343625000016,0.0,1.4278377133312237,1.430544045576228,0.07147895059410363,-0.003075017181250001,-0.031505021089100006,0.0,0.7268133747872635,0.7230795441535101,0.02894830981796727,0.0012602008435640003,0.025651448277550004,0.0,0.36443174433611414,0.3639039427076445,0.010918561485355952,-0.0007695434483265001,0.08847348859519268,0.024970809892752736,0.05395213806561399,0.31639479440029644,0.32066751968112933,-0.00427272528083289
7,2000,0.8874789337749999,1.8,2.9705705165227,2.97107869333792,0.2970727738829678,0.09125210662250002,0.043911198521499994,0.0,1.4590782057344365,1.4590735499364953,0.07295295799458783,-0.002195559926075,-0.005325272309999999,0.0,0.7093822874512754,0.7092176227590085,0.028369581328300912,0.00021301089239999995,0.018459014995,0.0,0.37997166485731576,0.379632808532306,0.011390090176905803,-0.0005537704498499999,0.09128044413665233,0.0247490823446349,0.04725446718083107,0.3437203097311436,0.3482747237501877,-0.004554414019044106
8,2000,1.045306195855,2.1,2.8962323121839493,2.9001450465580785,0.289751394835632,0.1054693804145,0.010377811949500005,0.0,1.4853762300969233,1.4816373720370997,0.07414594587857673,-0.0005188905974750003,-0.020194043719,0.0,0.7073079743695487,0.7072516572727121,0.028290053405717847,0.00080776174876,0.011510319838399997,0.0,0.37876190440803165,0.37864434519056206,0.01135982471033746,-0.00034530959515199986,0.10547431521574308,0.03222921091460296,0.04519143241928555,0.4162870460222023,0.3746453093948884,0.04164173662731391
9,2000,1.247060059925,2.4,3.071339845499806,3.0717613815717897,0.30714661549028077,0.11529399400750001,0.0483152527845,0.0,1.4505086466594903,1.4515423900151758,0.07255714184747172,-0.0024157626392250003,-0.0105215163995,0.0,0.7343817596949945,0.7336794718062403,0.02935070435411984,0.00042086065598000003,0.022403553168999998,0.0,0.3741550300350899,0.37340203849617454,0.011204876479935316,-0.0006721065950699999,0.11532202657904261,0.040847986849609226,0.05029529767161105,0.4481733027746972,0.41749077139345914,0.030682531381238054
10,2000,1.47007077415,2.7,2.9205997571604767,2.9246502316392435,0.29219534453911916,0.12299292258500001,0.06670638413499999,0.0,1.460892402326397,1.4572592054555795,0.0729229768370383,-0.0033353192067499997,-0.021675866042999998,0.0,0.7095320686069986,0.7095394244436586,0.028377477316423073,0.00086703464172,0.012371883541500003,0.0,0.38607173864730293,0.38564710520269385,0.011572232043486124,-0.00037115650624500006,0.12304175253316571,0.04425951578498599,0.04581753884721106,0.49135172065412885,0.505727300749622,-0.014375580095493168
